point,latitude,longitude,state,radians_parallel,length_parallel,radians_orthogonal,length_orthogonal
313,-10.3036,-36.240002,AL ,0,,0,3.4100001
131,-10.26,-36.259998,AL ,0,4.21,0,3.45
138,-10.05,-36.029999,AL ,0,4.0599999,0,3.45
139,-9.9399996,-35.959999,AL ,0,3.8599999,0,3.45
132,-9.8500004,-35.91,AL ,0,3.5999999,0,3.45
140,-9.79,-35.860001,AL ,0,3.4300001,0,3.45
133,-9.71,-35.790001,AL ,0,3.1400001,0,3.45
134,-9.4899998,-35.560001,AL ,0,2.52,0,3.45
141,-9.4399996,-35.529999,AL ,0,2.3199999,0,3.45
142,-9.3599997,-35.470001,AL ,0,2.1199999,0,3.45
135,-9.2799997,-35.389999,AL ,0,1.88,0,3.4400001
143,-9.2299995,-35.34,AL ,0,1.71,0,3.4400001
144,-9.1599998,-35.299999,AL ,0,1.53,0,3.4400001
155,-9.0600004,-35.240002,AL ,0,1.25,0,3.4400001
145,-8.9099998,-35.150002,AL ,0,0.87,0,3.4400001
156,-8.8599997,-35.130001,AL ,0,0.70999998,0,3.4400001
146,-8.7799997,-35.099998,AL ,0,0.54000002,0,3.4400001
147,-8.6899996,-35.09,AL ,0,0.28999999,0,3.45
157,-8.6000004,-35.049999,AL ,0,0.05,0,3.45
312,-8.5452003,-35.090801,AL ,0,,0,3.45
314,0.45539999,-49.5424,AP,0,,0,4.0100002
251,0.69999999,-50.23,AP,0,0.91000003,0,2
252,1.24,-49.91,AP,0,1.14,0,2.5
253,2.1500001,-50.689999,AP,0,2.8699999,0,3.8
254,3.9200001,-51.150002,AP,0,3.77,0,3.5
255,4.5,-51.639999,AP,0,3.78,0,3.6199999
121,-12.4,-37.889999,BA1,0,2.0799999,0,3.5
122,-12.22,-37.759998,BA1,0,1.77,0,3.5
123,-12.1,-37.689999,BA1,0,1.45,0,3.5
124,-11.74,-37.52,BA1,0,0.97000003,0,3.51
125,-11.44,-37.34,BA1,0,0.34,0,3.51
126,-11.29,-37.259998,BA1,0,0.05,0,3.51
311,-18.34,-39.669998,BA2,0,0.05,0,3.8900001
96,-18,-39.490002,BA2,0,4.3600001,0,4.29
97,-17.82,-39.279999,BA2,0,4.1500001,0,4.1500001
98,-17.68,-39.139999,BA2,0,4,0,4.0599999
99,-17.440001,-39.189999,BA2,0,4.0100002,0,4.1399999
100,-16.889999,-39.119999,BA2,0,3.8199999,0,3.97
101,-16.34,-39.009998,BA2,0,3.5899999,0,3.8
102,-16.09,-38.950001,BA2,0,3.54,0,3.6800001
103,-15.76,-38.889999,BA2,0,3.52,0,3.6800001
104,-15.39,-38.970001,BA2,0,3.5699999,0,3.72
105,-15.09,-39,BA2,0,3.52,0,3.75
113,-14.51,-39.040001,BA2,0,3.8599999,0,3.72
106,-14.41,-39.02,BA2,0,3.8900001,0,3.73
114,-14.22,-38.990002,BA2,0,4,0,3.79
115,-13.87,-38.950001,BA2,0,4.1300001,0,3.8399999
109,-13.85,-38.959999,BA2,0,4.1900001,0,3.8399999
107,-13.84,-38.970001,BA2,0,4.1900001,0,3.8399999
108,-13.71,-38.990002,BA2,0,4.3000002,0,3.9300001
116,-13.67,-38.970001,BA2,0,4.3099999,0,3.95
117,-13.39,-38.950001,BA2,0,4.3499999,0,4.02
110,-13.21,-38.919998,BA2,0,4.1100001,0,4.0700002
118,-13.14,-38.799999,BA2,0,3.8800001,0,4
111,-13.01,-38.59,BA2,0,3.5599999,0,3.95
119,-12.91,-38.310001,BA2,0,3.1600001,0,3.78
112,-12.88,-38.279999,BA2,0,3.03,0,3.6700001
120,-12.6,-38.029999,BA2,0,2.6099999,0,3.23
208,-2.8900001,-41.110001,CE1,0,,0,0.40000001
206,-2.8599999,-39.950001,CE1,0,3.8199999,0,2.7
209,-2.8399999,-40.599998,CE1,0,,0,1.8
331,-2.81,-40.37,CE1,0,0,0,2.2
207,-2.8,-40.450001,CE1,0,,0,2.1700001
197,-4.6399999,-37.540001,CE2,0,0.30000001,0,2.22
310,-4.4952998,-37.151001,CE2,0,,0,3.23
198,-4.4299998,-37.77,CE2,0,0.64999998,0,3.5
190,-4.3800001,-37.84,CE2,0,0.74000001,0,3.5
199,-4.0999999,-38.150002,CE2,0,1.1900001,0,3.51
191,-4,-38.220001,CE2,0,1.3,0,3.5
200,-3.8199999,-38.400002,CE2,0,1.5700001,0,3.49
201,-3.7,-38.59,CE2,0,1.8200001,0,3.49
192,-3.55,-38.810001,CE2,0,2.1199999,0,3.49
202,-3.47,-38.93,CE2,0,2.27,0,3.49
193,-3.4100001,-39.060001,CE2,0,2.4400001,0,3.49
203,-3.3299999,-39.16,CE2,0,2.5699999,0,3.49
204,-3.1800001,-39.380001,CE2,0,2.8599999,0,3.49
194,-3.0799999,-39.549999,CE2,0,3.1700001,0,3.49
205,-3,-39.709999,CE2,0,3.1400001,0,3.49
83,-21.299999,-40.959999,ES,0,4.1500001,0,3.8
84,-21.190001,-40.93,ES,0,4.25,0,3.8
85,-20.99,-40.810001,ES,0,4.25,0,3.8
264,-20.870001,-40.759998,ES,0,4.23,0,3.77
265,-20.83,-40.700001,ES,0,4.1999998,0,3.74
86,-20.76,-40.57,ES,0,4.1199999,0,3.6600001
87,-20.530001,-40.369999,ES,0,4.0900002,0,3.6199999
88,-20.32,-40.27,ES,0,4.1900001,0,3.6199999
90,-20.24,-40.220001,ES,0,4.1999998,0,3.6500001
89,-20.049999,-40.189999,ES,0,4.3000002,0,3.6500001
91,-20.01,-40.16,ES,0,4.3400002,0,3.6600001
92,-19.690001,-39.91,ES,0,4.3099999,0,3.73
93,-19.09,-39.720001,ES,0,2.9000001,0,3.9000001
94,-18.709999,-39.75,ES,0,1.6,0,3.99
95,-18.34,-39.669998,ES,0,,0,4
309,-18.34,-39.669998,ES,0,,0,3.8199999
288,-3.02,-44.490002,MA1,0,,0,
289,-2.8900001,-44.650002,MA1,0,,0,
267,-2.8099999,-44.650002,MA1,0,,0,
290,-2.8099999,-44.650002,MA1,0,,0,
291,-2.5999999,-44.560001,MA1,0,,0,
225,-2.4100001,-44.389999,MA1,0,,0,
292,-2.4100001,-44.389999,MA1,0,,0,
226,-2.28,-44.68,MA1,0,,0,
227,-2.1400001,-44.470001,MA1,0,3.05,0,
228,-2.02,-44.5,MA1,0,3.0599999,0,3.8599999
229,-1.89,-44.549999,MA1,0,3.04,0,3.8199999
230,-1.76,-44.610001,MA1,0,3.05,0,3.8
268,-1.59,-45.34,MA1,0,,0,3.75
269,-1.48,-45.200001,MA1,0,,0,3.6600001
231,-1.46,-44.77,MA1,0,3.27,0,3.55
270,-1.45,-44.810001,MA1,0,,0,3.51
271,-1.41,-44.860001,MA1,0,,0,
272,-1.37,-44.869999,MA1,0,3.5,0,3.51
273,-1.3099999,-45.349998,MA1,0,0.31999999,0,3.6300001
232,-1.26,-44.950001,MA1,0,3.96,0,
233,-1.1900001,-45.57,MA1,0,4.4000001,0,3.54
248,-1.12,-45.830002,MA1,0,,0,3.55
274,-1.1,-45.77,MA1,0,4.5,0,3.55
316,-1.0599999,-46.0312,MA1,0,,0,3.5999999
247,-1.05,-45.869999,MA1,0,4.6399999,0,
212,-2.76,-41.779999,MA2,0,0.12,0,3.54
218,-2.7,-42.490002,MA2,0,,0,3.5599999
214,-2.6900001,-42.220001,MA2,0,0.57999998,0,3.5
217,-2.6199999,-42.639999,MA2,0,1.2,0,3.5999999
224,-2.52,-44.380001,MA2,0,,0,4.1700001
286,-2.51,-44.029999,MA2,0,,0,4.1700001
287,-2.48,-44.220001,MA2,0,,0,4.2800002
215,-2.46,-43.02,MA2,0,1.7,0,3.7
317,-2.4403999,-41.483898,MA2,0,,0,3.6600001
223,-2.3800001,-43.759998,MA2,0,,0,3.98
220,-2.3800001,-43.490002,MA2,0,,0,3.8800001
221,-2.3699999,-43.77,MA2,0,,0,
216,-2.3399999,-43.380001,MA2,0,1.9299999,0,3.8199999
219,-2.29,-43.59,MA2,0,,0,3.96
222,-2.25,-43.630001,MA2,0,2.6500001,0,
234,-1.04,-46.029999,PA,0,,0,3.5
275,-0.97000003,-46.639999,PA,0,,0,3.5799999
246,-0.94999999,-46.34,PA,0,,0,3.5
285,-0.89999998,-48.41,PA,0,,0,4.27
244,-0.88,-46.209999,PA,0,0.27000001,0,
245,-0.87,-46.810001,PA,0,,0,3.53
276,-0.83999997,-46.939999,PA,0,,0,3.55
283,-0.81999999,-48.169998,PA,0,,0,
243,-0.81,-47.07,PA,0,,0,3.5
235,-0.79000002,-46.669998,PA,0,0.75999999,0,
284,-0.75,-48.509998,PA,0,0.37,0,4.2199998
238,-0.75,-48.139999,PA,0,,0,3.8800001
241,-0.74000001,-46.860001,PA,0,0.97000003,0,
239,-0.69999999,-47.630001,PA,0,,0,3.9000001
237,-0.69999999,-47.619999,PA,0,,0,
242,-0.69999999,-46.970001,PA,0,1.36,0,
325,-0.67000002,-47.099998,PA,0,1.4,0,
281,-0.64999998,-47.98,PA,0,,0,3.96
279,-0.63999999,-47.43,PA,0,1.63,0,3.8599999
236,-0.62,-47.259998,PA,0,1.5,0,3.5
280,-0.58999997,-47.330002,PA,0,1.55,0,
282,-0.56999999,-47.77,PA,0,,0,3.9400001
277,-0.56999999,-47.580002,PA,0,1.8,0,
278,-0.56,-47.900002,PA,0,,0,
240,-0.54000002,-47.709999,PA,0,2.1199999,0,
250,-0.22,-48.91,PA,0,,0,2.4200001
249,-0.22,-48.52,PA,0,2.77,0,
315,0.45539999,-49.5424,PA,0,,0,4.0100002
321,0.69999999,-50.23,PA,0,5.1199999,0,
308,-7.3301001,-34.495602,PB ,0,,0,3.0999999
165,-7.2399998,-34.810001,PB ,0,3.3800001,0,3.6199999
152,-7.0599999,-34.84,PB ,0,3.4100001,0,3.6199999
166,-6.96,-34.84,PB ,0,3.3900001,0,3.6300001
153,-6.8600001,-34.900002,PB ,0,3.4400001,0,3.6400001
167,-6.77,-34.919998,PB ,0,3.4400001,0,3.6500001
154,-6.7199998,-34.93,PB ,0,3.4400001,0,3.6500001
330,-6.6,-34.97,PB ,0,3.44,0,3.3
168,-6.4899998,-34.970001,PB ,0,3.4200001,0,0.55000001
307,-6.2908001,-34.580898,PB ,0,,0,3.1800001
306,-8.5452003,-35.090801,PE,0,,0,3.4200001
158,-8.3699999,-34.959999,PE,0,3.48,0,3.49
159,-8.2200003,-34.93,PE,0,3.47,0,3.51
148,-8.1499996,-34.91,PE,0,3.46,0,3.51
149,-8.04,-34.860001,PE,0,3.4300001,0,3.51
160,-7.96,-34.830002,PE,0,3.3900001,0,3.52
161,-7.8400002,-34.84,PE,0,3.4200001,0,3.52
150,-7.8200002,-34.84,PE,0,3.4200001,0,3.52
162,-7.6900001,-34.849998,PE,0,3.4200001,0,3.55
151,-7.5500002,-34.830002,PE,0,3.4200001,0,3.55
163,-7.3800001,-34.849998,PE,0,1.76,0,3.5799999
164,-7.3800001,-34.799999,PE,0,1.38,0,3.6099999
305,-7.3301001,-34.495602,PE,0,,0,3.0799999
211,-2.9200001,-41.32,PI,0,,0,3.4000001
210,-2.9000001,-41.439999,PI,0,0.12,0,3.4000001
213,-2.8599999,-41.650002,PI,0,0.33000001,0,3.5
317,-2.5508001,-41.192101,PI,0,,0,3.23
304,-25.583599,-48.352501,PR,0,,0,4.3800001
47,-25.49,-48.310001,PR,0,0.62,0,1
49,-25.309999,-48.099998,PR,0,0.2,0,3.72
303,-25.191,-48.045601,PR,0,,0,4.3800001
329,-22.959999,-41.990002,RJ1,0,,0,3.9000001
75,-22.93,-42.040001,RJ1,0,4,0,
73,-22.82,-41.970001,RJ1,0,3.89,0,3.6
76,-22.73,-41.869999,RJ1,0,3.6,0,3.72
77,-22.6,-41.990002,RJ1,0,3.6700001,0,3.74
74,-22.559999,-41.98,RJ1,0,3.8,0,3.4200001
78,-22.42,-41.82,RJ1,0,3.25,0,3.95
262,-22.299999,-41.689999,RJ1,0,2.98,0,3.78
79,-22.23,-41.540001,RJ1,0,2.73,0,3.79
80,-22.09,-41.130001,RJ1,0,1.99,0,3.6500001
81,-21.91,-40.98,RJ1,0,1.48,0,1.65
82,-21.620001,-41.009998,RJ1,0,0.79000002,0,1.2
319,-21.299999,-40.959999,RJ1,0,,0,
327,-23.370001,-44.73,RJ2,0,6.9499998,0,
65,-23.370001,-44.73,RJ2,0,6.8000002,0,
60,-23.23,-44.349998,RJ2,0,6.6799998,0,
59,-23.23,-44.349998,RJ2,0,,0,
301,-23.17,-44.09,RJ2,0,,0,1.62
66,-23.1,-43.990002,RJ2,0,6.4000001,0,
70,-23.08,-43.560001,RJ2,0,6,0,
261,-23.07,-43.860001,RJ2,0,,0,1.92
260,-23.049999,-43.669998,RJ2,0,,0,2.3599999
328,-23.030001,-44.52,RJ2,0,,0,0.80000001
71,-23.01,-42,RJ2,0,3.9000001,0,
67,-22.969999,-43.02,RJ2,0,,0,3.45
293,-22.950001,-43.139999,RJ2,0,,0,3.4300001
69,-22.940001,-42.639999,RJ2,0,,0,3.47
68,-22.940001,-42.279999,RJ2,0,,0,3.47
263,-22.93,-42.380001,RJ2,0,,0,3.47
187,-5.27,-35.380001,RN1,0,3.76,0,3.4400001
175,-5.1199999,-35.619999,RN1,0,3.9400001,0,3.45
180,-5.0999999,-36.310001,RN1,0,,0,3.47
195,-5.0799999,-36.720001,RN1,0,,0,3.5999999
179,-5.0799999,-36.41,RN1,0,,0,3.6099999
176,-5.0799999,-36.099998,RN1,0,,0,3.48
174,-5.0799999,-35.790001,RN1,0,3.9400001,0,3.5
178,-5.0599999,-36.040001,RN1,0,,0,3.53
177,-5.0599999,-35.91,RN1,0,3.97,0,3.53
181,-4.9499998,-37.139999,RN1,0,,0,3.7
188,-4.9499998,-36.880001,RN1,0,5.0599999,0,3.75
196,-4.8800001,-37.220001,RN1,0,5.1999998,0,3.71
189,-4.8299999,-37.259998,RN1,0,5.1799998,0,3.7
300,-4.4952998,-37.151001,RN1,0,,0,3.23
182,-6.3099999,-35.029999,RN2,0,0.41999999,0,
299,-6.2908001,-34.580898,RN2,0,,0,3.1800001
169,-6.2800002,-35.029999,RN2,0,0.44999999,0,3.78
183,-6.1799998,-35.09,RN2,0,0.80000001,0,3.78
170,-6.1399999,-35.099998,RN2,0,0.94999999,0,3.78
171,-5.98,-35.119999,RN2,0,1.46,0,3.77
184,-5.9000001,-35.150002,RN2,0,1.75,0,3.76
185,-5.7399998,-35.200001,RN2,0,2.29,0,3.74
172,-5.6100001,-35.23,RN2,0,2.71,0,3.73
186,-5.52,-35.259998,RN2,0,3.02,0,3.71
173,-5.3800001,-35.330002,RN2,0,3.52,0,3.6900001
1,-33.75,-53.369999,RS,0,5.1199999,0,3.8499999
2,-32.639999,-52.43,RS,0,5.1199999,0,3.9100001
4,-32.150002,-52.080002,RS,0,5.1500001,0,3.9300001
6,-31.5,-51.189999,RS,0,4.5799999,0,3.6700001
8,-31.190001,-50.84,RS,0,4.2600002,0,3.6700001
11,-30.5,-50.34,RS,0,2.78,0,3.8
3,-30.299999,-50.25,RS,0,2.4100001,0,3.8399999
5,-30.23,-50.23,RS,0,2.29,0,3.8499999
7,-30.1,-50.169998,RS,0,2.05,0,3.8699999
9,-29.969999,-50.119999,RS,0,1.8200001,0,3.8900001
15,-29.879999,-50.080002,RS,0,1.61,0,3.9200001
12,-29.860001,-50.060001,RS,0,1.5599999,0,3.9200001
10,-29.77,-50.02,RS,0,1.4,0,3.9300001
19,-29.620001,-49.93,RS,0,1.13,0,3.9300001
13,-29.610001,-49.919998,RS,0,1.05,0,3.9300001
20,-29.440001,-49.799999,RS,0,0.73000002,0,3.9300001
14,-29.32,-49.709999,RS,0,0.49000001,0,3.9200001
21,-29.24,-49.650002,RS,0,0.28999999,0,3.9000001
294,-29.193399,-49.424,RS,0,,0,3.6600001
26,-28.110001,-48.630001,SC1,0,3.96,0,3.9300001
18,-27.950001,-48.619999,SC1,0,3.99,0,3.95
28,-27.9,-48.59,SC1,0,3.9000001,0,3.9300001
27,-27.84,-48.580002,SC1,0,3.8399999,0,3.9400001
36,-27.41,-48.529999,SC1,0,3.0799999,0,3.48
29,-27.309999,-48.59,SC1,0,3,0,3.27
37,-27.209999,-48.580002,SC1,0,2.8299999,0,3.1400001
30,-27.139999,-48.59,SC1,0,,0,2.99
38,-27.110001,-48.509998,SC1,0,2.3399999,0,2.8399999
31,-27.059999,-48.59,SC1,0,2.8,0,2.76
39,-26.959999,-48.630001,SC1,0,2.26,0,2.6400001
34,-26.91,-48.639999,SC1,0,2.49,0,2.51
32,-26.82,-48.619999,SC1,0,2.3,0,2.3499999
40,-26.77,-48.66,SC1,0,2,0,2.26
41,-26.719999,-48.68,SC1,0,2.1900001,0,2.2
33,-26.58,-48.66,SC1,0,2.1199999,0,1.99
42,-26.549999,-48.650002,SC1,0,1.67,0,1.8
43,-26.450001,-48.59,SC1,0,1.6900001,0,1.67
48,-26.17,-48.57,SC1,0,1.13,0,1.24
256,-26.17,-48.57,SC1,0,0.79000002,0,1.02
44,-25.98,-48.599998,SC1,0,0.87,0,0.92000002
45,-25.85,-48.549999,SC1,0,0.63,0,0.63999999
46,-25.709999,-48.48,SC1,0,0.30000001,0,0.31999999
35,-25.59,-48.360001,SC1,0,,0,
295,-25.583599,-48.352501,SC1,0,,0,4.4499998
296,-29.193399,-49.424,SC2,0,,0,3.72
16,-29.1,-49.52,SC2,0,4.6199999,0,
22,-28.959999,-49.380001,SC2,0,4.52,0,1.08
17,-28.879999,-49.290001,SC2,0,4.46,0,1.28
23,-28.799999,-49.189999,SC2,0,4.3800001,0,2.4300001
24,-28.620001,-48.860001,SC2,0,4.0900002,0,3.5899999
25,-28.34,-48.709999,SC2,0,4,0,3.72
127,-11.16,-37.16,SE,0,1.92,0,1
136,-10.96,-37.040001,SE,0,1.5599999,0,3.02
128,-10.74,-36.849998,SE,0,1.13,0,3.5999999
129,-10.63,-36.68,SE,0,0.80000001,0,3.51
266,-10.54,-36.5,SE,0,0.51999998,0,3.5
130,-10.5,-36.400002,SE,0,0.40000001,0,3.5
137,-10.34,-36.299999,SE,0,0.05,0,3.51
324,-23.969999,-45.25,SP1,0,0.69999999,0,
322,-23.73,-45.279999,SP1,0,,0,1.7
61,-23.719999,-45.330002,SP1,0,1,0,
259,-23.709999,-45.43,SP1,0,0.94999999,0,
58,-23.58,-45.279999,SP1,0,0.86000001,0,1.3
323,-23.370001,-44.73,SP1,0,,0,
297,-23.22135,-44.432171,SP1,0,,0,
298,-25.191,-48.045601,SP2,0,,0,4.4499998
318,-25.191,-48.045601,SP2,0,4.5999999,0,
50,-25.049999,-47.91,SP2,0,4.3499999,0,0.40000001
51,-24.67,-47.419998,SP2,0,3.5999999,0,1.58
52,-24.450001,-47.080002,SP2,0,3.24,0,2.3099999
53,-24.25,-46.900002,SP2,0,3.03,0,2.8699999
55,-24.139999,-46.709999,SP2,0,2.5599999,0,3.1500001
56,-24.09,-46.610001,SP2,0,2.45,0,3.46
54,-24,-46.389999,SP2,0,2.1600001,0,3.72
57,-23.99,-46.310001,SP2,0,,0,3.96
257,-23.969999,-46.360001,SP2,0,,0,4
64,-23.969999,-45.25,SP2,0,,0,
62,-23.91,-45.459999,SP2,0,,0,3.5699999
258,-23.860001,-46.130001,SP2,0,,0,3.97
63,-23.76,-45.84,SP2,0,,0,3.8099999
